RCP-28E28186|11a0c318|JIMS|2025-11-20 20:40:55|3.5|3.5|0.0
RCP-38DA72BA|6aaabf4b|jevin|2025-11-20 20:41:03|3.5|3.5|0.0
RCP-C92C7428|1f043cb0|jims|2025-11-20 20:42:17|3.5|3.5|0.0
RCP-8052AC46|fddac1ba|Jims|2025-11-20 20:45:44|3.5|3.5|0.0
RCP-B8FB53BD|564e4384|jims|2025-11-20 20:49:17|4.5|4.5|0.0
RCP-12F74121|564e4384|jims|2025-11-20 20:49:25|4.5|4.5|0.0
RCP-F04CCDE7|564e4384|jims|2025-11-20 20:50:01|4.5|4.5|0.0
RCP-FB887C35|7046d9a1|jims|2025-11-20 20:54:26|3.5|3.5|0.0
RCP-B37171E6|0b0f04ff|jevin|2025-11-20 21:01:32|8.0|8.0|0.0
RCP-506BD96C|df34785e|joms|2025-11-20 21:19:43|5.0|5.0|0.0
RCP-2F859750|2ab194da|bowie|2025-11-20 21:26:45|4.5|4.5|0.0
